directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,time,distance,score,path_length,player_movement_filename
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,1,1,1,1767.109,1772.689,5.580322,0.277753949165344,894.621985882466,7.478509,player_movement_T001.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,2,1,2,1772.689,1777.058,4.368164,0.179662793874741,923.472554342295,7.530726,player_movement_T002.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,3,1,3,1777.058,1781.604,4.546875,0.211603939533234,915.953630310627,7.717149,player_movement_T003.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,4,1,4,1781.604,1784.692,3.087524,2.74525380134583,559.93979391363,4.901906,player_movement_T004.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,5,1,5,1784.692,1789.057,4.365479,0.389755666255951,885.497257757745,7.264584,player_movement_T005.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,6,2,1,1789.057,1798.377,9.319458,2.77706432342529,522.773257516905,15.46512,player_movement_T006.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,7,2,2,1798.377,1806.047,7.670166,2.95572352409363,512.811795205561,13.6025,player_movement_T007.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,8,2,3,1806.047,1812.614,6.566528,2.75572633743286,539.662919524652,10.10076,player_movement_T008.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,9,2,4,1812.614,1819.136,6.522461,2.99162673950195,515.019783376326,10.38626,player_movement_T009.csv
scenario1_keyboard/P_190607133219/S001,scenario1_keyboard,P_190607133219,1,10,2,5,1819.136,1825.129,5.992798,2.96569657325745,520.446958683625,11.38821,player_movement_T010.csv
